County,Year,value
Putnam,2021-06-30,43.3
St. Johns,2021-06-30,162.2
St. Lucie,2021-06-30,80.8
Santa Rosa,2021-06-30,122.4
Sarasota,2021-06-30,147.1
Seminole,2021-06-30,175.4
Sumter,2021-06-30,36.9
Suwannee,2021-06-30,28.4
Taylor,2021-06-30,13.3
Union,2021-06-30,25.9
Volusia,2021-06-30,100.9
Wakulla,2021-06-30,89.0
Walton,2021-06-30,92.0
Washington,2021-06-30,62.7
Unknown,2021-06-30,
Florida,2022-06-30,130.4
Alachua,2022-06-30,248.4
Baker,2022-06-30,68.5
Bay,2022-06-30,128.3
Bradford,2022-06-30,61.1
Brevard,2022-06-30,124.2
Broward,2022-06-30,167.2
Calhoun,2022-06-30,36.5
Charlotte,2022-06-30,87.4
Citrus,2022-06-30,69.7
Clay,2022-06-30,117.1
Collier,2022-06-30,88.8
Columbia,2022-06-30,90.9
Miami-Dade,2022-06-30,120.6
DeSoto,2022-06-30,79.2
Dixie,2022-06-30,29.6
Duval,2022-06-30,130.2
Escambia,2022-06-30,137.4
Flagler,2022-06-30,106.9
Franklin,2022-06-30,72.0
Gadsden,2022-06-30,102.5
Gilchrist,2022-06-30,38.0
Glades,2022-06-30,16.4
Gulf,2022-06-30,59.9
Hamilton,2022-06-30,31.2
Hardee,2022-06-30,31.7
Hendry,2022-06-30,33.8
Hernando,2022-06-30,81.7
Highlands,2022-06-30,55.4
Hillsborough,2022-06-30,131.0
Holmes,2022-06-30,55.8
Indian River,2022-06-30,101.0
Jackson,2022-06-30,97.2
Jefferson,2022-06-30,128.5
Lafayette,2022-06-30,25.8
Lake,2022-06-30,96.3
Lee,2022-06-30,92.1
Leon,2022-06-30,185.8
Levy,2022-06-30,65.5
Liberty,2022-06-30,83.6
Madison,2022-06-30,49.1
Manatee,2022-06-30,106.1
Marion,2022-06-30,83.8
Martin,2022-06-30,158.6
Monroe,2022-06-30,99.1
Nassau,2022-06-30,111.6
Okaloosa,2022-06-30,142.3
Okeechobee,2022-06-30,53.9
Orange,2022-06-30,135.4
Osceola,2022-06-30,61.9
Palm Beach,2022-06-30,190.4
Pasco,2022-06-30,111.6
Pinellas,2022-06-30,171.5
Polk,2022-06-30,74.3
Putnam,2022-06-30,46.0
St. Johns,2022-06-30,172.1
St. Lucie,2022-06-30,99.9
Santa Rosa,2022-06-30,143.8
Sarasota,2022-06-30,166.7
Seminole,2022-06-30,199.2
Sumter,2022-06-30,54.9
Suwannee,2022-06-30,43.1
Taylor,2022-06-30,14.7
Union,2022-06-30,32.0
Volusia,2022-06-30,116.1
Wakulla,2022-06-30,105.6
Walton,2022-06-30,111.2
Washington,2022-06-30,64.1
Unknown,2022-06-30,
Florida,2023-06-30,133.2
Alachua,2023-06-30,244.6
Baker,2023-06-30,75.6
Bay,2023-06-30,130.4
Bradford,2023-06-30,71.2
Brevard,2023-06-30,132.7
Broward,2023-06-30,169.1
Calhoun,2023-06-30,43.4
Charlotte,2023-06-30,91.0
Citrus,2023-06-30,79.1
Clay,2023-06-30,125.7
Collier,2023-06-30,88.1
Columbia,2023-06-30,100.2
Miami-Dade,2023-06-30,121.2
DeSoto,2023-06-30,76.7
Dixie,2023-06-30,34.9
Duval,2023-06-30,132.0
Escambia,2023-06-30,135.3
Flagler,2023-06-30,119.7
Franklin,2023-06-30,69.1
Gadsden,2023-06-30,101.9
Gilchrist,2023-06-30,31.0
Glades,2023-06-30,24.3
Gulf,2023-06-30,60.2
Hamilton,2023-06-30,58.7
Hardee,2023-06-30,27.2
Hendry,2023-06-30,29.4
Hernando,2023-06-30,86.9
Highlands,2023-06-30,60.6
Hillsborough,2023-06-30,132.3
Holmes,2023-06-30,60.3
Indian River,2023-06-30,106.8
