Unnamed: 0,New Provider Name,Assessment and plan for trauma,Assessment and plan for pain,Pt is at baseline No GDR,Attempted GDR,Failed GDR,Unstable requiring no med changes,Pt Unstable Requiring Med Changes,Ordered labs,Total Psych Meds Started,Total Psych Meds Discontinued,Total Psych Meds Increased,Total Pysch Meds Decreased,Changed diagnosis,Referred patient to,Initiated prior authorization,Summary of session and goals,Decision making,Total Difference In Psych Meds,Initiated Baker Act,Initiated 1 1 sitter,Removed 1 1 sitter
,Provider-150,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0
,Provider-99,89,85,239,10,0,49,114,20,46,77,62,24,10,14,2,0,3,31,0,0,1
,Provider-100,8803,5317,19357,1698,49,3478,6168,801,3728,3291,3263,1961,1124,1124,57,9926,482,-437,22,31,44
,Provider-0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,234,0,0,1,0,0
,Provider-134,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0
,Provider-2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0
,Provider-3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0
,Provider-4,131,0,0,0,0,0,0,0,0,0,0,0,51,25,0,131,0,0,0,0,0
,Provider-135,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0
,Provider-151,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1,0,0,0,0
,Provider-114,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0
,Provider-140,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
,Provider-7,65,66,191,22,1,18,54,4,36,37,23,28,4,0,0,0,1,1,0,0,0
,Provider-9,41,39,131,3,0,45,42,5,26,20,30,4,13,23,0,0,3,-6,0,0,0
,Provider-11,51,50,266,61,0,39,191,30,123,121,100,55,16,26,2,0,4,-2,0,0,0
,Provider-152,75,74,145,24,0,30,72,7,62,59,27,34,4,10,3,0,0,-3,0,0,0
,Provider-136,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0
,Provider-13,65,59,238,6,0,82,90,7,35,40,54,6,5,5,1,0,4,5,0,0,0
,Provider-14,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,3,0,0
,Provider-153,84,83,76,42,2,9,124,0,59,80,97,69,7,0,0,0,2,21,0,0,0
,Provider-15,362,360,199,17,0,87,84,4,47,44,37,24,16,2,1,0,1,-3,0,0,0
,Provider-16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0
,Provider-115,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
,Provider-116,29,30,138,27,2,23,94,9,36,40,67,32,10,3,0,0,12,4,1,0,0
,Provider-154,64,0,0,0,0,0,0,0,0,0,0,0,5,2,0,65,0,0,0,0,0
,Provider-141,51,0,0,0,0,0,0,0,0,0,0,0,15,1,0,161,0,0,0,0,0
,Provider-17,47,47,119,24,0,12,41,3,27,26,13,26,5,0,0,0,5,-1,1,1,1
,Provider-18,61,60,214,6,1,10,56,5,33,43,25,6,5,46,0,0,3,10,0,0,2
,Provider-122,66,65,77,73,0,44,199,22,82,124,144,40,2,1,0,0,13,42,0,0,0
,Provider-19,33,32,248,24,3,12,64,7,30,27,34,46,3,0,2,0,8,-3,0,0,0
,Provider-167,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
,Provider-130,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0
,Provider-155,60,54,294,58,0,12,160,20,75,79,106,54,3,3,2,0,23,4,0,0,0
,Provider-123,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0
,Provider-20,48,43,195,16,0,26,71,9,42,35,37,29,6,9,0,0,7,-7,0,0,0
,Provider-21,0,7,6044,3,0,53,41,87,24,78,32,30,104,9,1,0,0,54,0,4,0
,Provider-22,43,46,471,0,0,76,88,11,47,18,42,10,9,0,1,0,1,-29,1,0,0
,Provider-142,70,0,0,0,0,0,0,0,0,0,0,0,1,1,0,169,0,0,2,0,0
,Provider-24,33,26,148,37,0,28,179,9,85,82,127,24,19,3,0,0,4,-3,0,0,0
,Provider-25,126,126,138,23,0,80,54,9,14,44,35,13,2,34,0,0,0,30,0,0,0
,Provider-163,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0
,Provider-26,52,39,226,30,0,69,120,16,54,55,63,19,33,8,0,0,11,1,0,0,0
,Provider-131,67,67,165,6,2,58,42,6,27,15,17,9,5,0,0,0,15,-12,0,0,0
,Provider-156,24,26,93,4,0,7,28,0,20,4,11,8,2,4,0,0,0,-16,0,1,0
,Provider-108,31,30,151,2,0,29,38,24,28,9,12,5,2,2,0,0,14,-19,0,0,0
,Provider-28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0
,Provider-102,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0
,Provider-30,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0
,Provider-31,69,69,174,9,0,23,101,12,52,31,51,16,2,0,0,0,4,-21,0,0,0
,Provider-32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0
,Provider-33,28,28,25,0,0,0,2,0,1,0,1,0,0,0,0,0,0,-1,0,0,0
,Provider-124,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0
,Provider-109,61,61,234,27,0,69,93,5,46,40,63,28,6,0,0,0,1,-6,0,0,0
,Provider-132,58,55,167,10,0,10,26,6,14,7,13,11,3,0,0,0,10,-7,0,0,0
,Provider-35,59,58,117,3,0,22,71,24,45,12,27,14,4,0,0,0,6,-33,0,0,0
,Provider-168,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0,0,0
,Provider-36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,1,0,1
,Provider-37,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0
,Provider-157,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0
,Provider-39,112,86,390,48,2,85,76,15,52,79,45,43,19,18,2,0,0,27,0,0,0
,Provider-125,178,176,0,0,0,0,0,0,37,14,11,11,0,0,0,0,0,-23,0,0,0
,Provider-110,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0
,Provider-41,41,5,52,16,1,53,26,1,19,26,10,8,4,0,2,0,0,7,0,0,0
,Provider-169,10,9,21,0,0,5,4,0,2,3,2,2,0,0,0,0,0,1,0,0,0
,Provider-43,65,65,150,24,4,61,129,14,66,70,53,34,27,14,1,0,13,4,0,0,0
,Provider-170,4,4,1,1,0,0,4,0,4,0,0,0,0,0,0,0,0,-4,0,0,0
,Provider-104,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0
,Provider-117,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0
,Provider-44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0
,Provider-45,111,110,327,26,0,37,82,8,83,45,43,14,8,3,0,0,3,-38,1,0,2
,Provider-46,32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,242,0,0,0,0,1
,Provider-47,58,53,355,10,0,29,67,6,30,45,39,4,34,2,0,0,0,15,1,1,0
,Provider-52,148,192,466,23,0,162,109,16,85,99,28,16,26,51,3,0,0,14,1,5,2
,Provider-53,48,47,179,12,0,12,93,17,50,50,57,23,22,1,0,0,0,0,0,0,0
,Provider-144,93,92,163,4,0,171,132,20,82,22,67,6,3,26,4,0,8,-60,2,0,0
,Provider-54,50,51,163,33,3,23,78,8,49,41,53,48,26,0,0,0,2,-8,1,2,1
,Provider-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0
,Provider-55,324,31,0,0,0,0,0,3,78,46,58,10,0,0,0,0,0,-32,0,0,0
